name,system_code,mohs,sg,ri,ri_no,ri_ne,formula,carbonate,phosphate,sulphate,cyanide,nitrate,hydroxyl,acetate,ammonium,hydrated water,oxygen,silicon,fluorine,chlorine,bromine,iodine,system,group
Beudantite,5.0,4.0,4.48,1.95,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,Hex/Trig,Oxide
Bicchulite,6.0,2.5,2.813,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,Cubic,Silicate
Biehlite,2.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,Monoclinic,Oxide
Billwiseite,2.0,5.0,6.33,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,Monoclinic,Oxide
Biotite,2.0,2.75,3.0,1.625,,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,Monoclinic,Silicate
Birnessite,2.0,1.5,3.0,1.71,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,Monoclinic,Oxide
Bischofite,2.0,1.75,1.56,1.51,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,Monoclinic,Oxide
Bismite,2.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,Monoclinic,Oxide
Bismutite,3.0,3.0,7.417000000000001,2.165,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,Orthorhombic,Oxide
Bityite,2.0,3.0,5.5,1.6569999999999998,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,2.0,0.0,0.0,0.0,0.0,Monoclinic,Silicate
Bixbyite,0.0,3.75,5.12,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,Unknown,Oxide
Blodite,2.0,2.75,2.23,1.485,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,Monoclinic,Oxide
Blossite,3.0,0.0,3.99,2.05,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,Orthorhombic,Oxide
Bobfergusonite,2.0,4.0,0.0,1.565,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,Monoclinic,Oxide
Boltwoodite,2.0,3.75,4.7,1.6880000000000002,,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,Monoclinic,Silicate
Bonaccordite,3.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,Orthorhombic,Oxide
Boracite,3.0,7.25,2.95,1.665,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,Orthorhombic,Oxide
Borax,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,Unknown,Oxide
Botallackite,2.0,0.0,3.6,1.807,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,Monoclinic,Oxide
Botryogen,2.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,8.0,0.0,0.0,0.0,0.0,0.0,Monoclinic,Oxide
